recordType,name,poke_type1,poke_type2,poke_size,poke_weight,poke_hp,hp_current,poke_defense,poke_spdef,poke_speed,poke_speed_ft,poke_attack,poke_spatk,poke_atk_mod,poke_spatk_mod,poke_effect_mod,poke_skills,poke_ability_passives,poke_diet,poke_egg_group,poke_hatch_rate,poke_habitat,poke_evolution,poke_proficiencies,poke_is_legendary,moves_list
pokemon,Pikachu,Electric,,Small,Light,24,24,5,5,9,45,7,6,+3,+3,+4,Zapper (can produce electricity),"Charm (+1 Defense), Nasty Plot (+1 Special Attack), Tail Whip (+1 Attack), Lightning Rod (Any foe’s ranged Electric-type attacks within 25ft or any adjacent foe’s Electrictype attacks are negated and drawn to you. Your Special Attack is +2 until the end of your next turn whenever you negate an Electric-type attack.), Static (Whenever you are hit with a melee attack, roll 1d4. On 4, Paralyze the attacker.)",Herbivore,Field / Fairy,4 Days,Forests / Urban Plants,"Pichu Pikachu Thunder Stone Raichu, Thunder Stone From Island habitat Island Raichu",Electric / Psychic (Raichu Island) / Cutesy Raichu,,"[{""_id"":""126e1d71-b088-43da-902d-a64873ee88d4"",""name"":""Quick Attack"",""unidentifiedName"":""Quick Attack"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Normal"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""At-Will"",""move_damage_dice"":""2d6"",""move_effect"":""Quick Attack has Priority.""}},{""_id"":""5f88545f-cd50-467e-8ec4-2cb4a95d10c1"",""name"":""Electro Ball"",""unidentifiedName"":""Electro Ball"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Electric"",""move_category"":""Special Attack"",""move_range"":""Ranged(15ft)"",""move_uses"":""3/day"",""move_damage_dice"":""3d10"",""move_effect"":""Electro Ball can only be used against targets slower than you.""}},{""_id"":""21de1f01-9651-4e91-868c-2a536bd4ed1b"",""name"":""Iron Tail"",""unidentifiedName"":""Iron Tail"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Steel"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""3/day"",""move_damage_dice"":""3d10"",""move_effect"":""Iron Tail has -2 during Accuracy Check. On hit, the target’s Defense is -1 for 10 mins. How to Use: Pokédex Useful Icons Throughout the Pokédex, Pokémon entries will contain icons to signify different things. Many icons will have explanations right next to them, but most do not. Here’s a bank of each icon you might find and what each of them mean. Pokémon and Move Types: Bug Grass Dark Ground Dragon Ice Electric Normal Fairy Poison Fighting Psychic Fire Rock Flying Steel Ghost Water Oddities - Whether it is an Alpha, a Totem, or a massive Titan, some Pokémon are just built different. It is alw...""}}]"
pokemon,Bulbasaur,Grass,Poison,Small,Light,30,30,6,7,5,25,5,7,+2,+3,+2,"Sprouter (can manipulate plant life), Threaded (can move around with vines)","Growl (+1 Defense), Overgrow (When you are below 20 HP, your Grass-type attacks deal +4 damage.)",Phototroph,Monster / Grass,10 Days,Forests / Jungles,Bulbasaur Ivysaur Venusaur,Grass / Poison / Floral / Stampeding (Venusaur),,"[{""_id"":""90e78ab5-fc47-4254-bc38-f60a45bbfa84"",""name"":""Tackle"",""unidentifiedName"":""Tackle"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Normal"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""At-Will"",""move_damage_dice"":""2d6"",""move_effect"":""""}},{""_id"":""79e359ce-9362-4ff0-ba53-1392da415689"",""name"":""Leech Seed"",""unidentifiedName"":""Leech Seed"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Effect"",""move_range"":""Ranged(10ft)"",""move_uses"":""1/day"",""move_damage_dice"":"""",""move_effect"":""On hit, the target gets a Seed Coat. The Coat has the following ability: At the beginning of your turn, if you are within 20 ft of the enemy who gave you the Seed Coat, you lose 1d12 HP. The enemy who gave you the Seed CoAt-Will gain the same amount of HP that you lost. This Coat lasts for 3 mins, or until you are at 0 or less HP.""}},{""_id"":""3d1075fe-1447-45f3-ad0b-64f4f3889c0a"",""name"":""Vine Whip"",""unidentifiedName"":""Vine Whip"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Attack"",""move_range"":""Ranged(20ft)"",""move_uses"":""At-Will"",""move_damage_dice"":""2d8"",""move_effect"":""""}}]"
pokemon,Ivysaur,Grass,Poison,Medium,Medium,36,36,7,8,6,30,7,9,+3,+4,+3,"Sprouter, Threaded","Growth (+1 Attack, +1 Special Attack), Growl, Overgrow",Phototroph,Monster / Grass,10 Days,Forests / Jungles,Bulbasaur Ivysaur Venusaur,Grass / Poison / Floral / Stampeding (Venusaur),,"[{""_id"":""684b0295-9f7b-42cd-a33b-23d5d0a66651"",""name"":""Poison Powder"",""unidentifiedName"":""Poison Powder"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Poison"",""move_category"":""Effect"",""move_range"":""Melee"",""move_uses"":""At-Will"",""move_damage_dice"":"""",""move_effect"":""Poison Powder has -5 during Accuracy Check. On hit, the target is Poisoned.""}},{""_id"":""3acb8ae9-b4ba-46cb-9ff9-3e9574a0fa40"",""name"":""Sleep Powder"",""unidentifiedName"":""Sleep Powder"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Effect"",""move_range"":""Melee"",""move_uses"":""At-Will"",""move_damage_dice"":"""",""move_effect"":""Sleep Powder has -5 during Accuracy Check. On hit, the target is put to Sleep.""}},{""_id"":""01d65339-5a12-4de5-bca2-3cfe7d7e7d63"",""name"":""Razor Leaf"",""unidentifiedName"":""Razor Leaf"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Attack"",""move_range"":""Ranged(25ft)"",""move_uses"":""At-Will"",""move_damage_dice"":""2d8"",""move_effect"":""On hit, if you got 18 or higher on Accuracy Check, Razor Leaf is a critical hit. Upon evolution from Bulbasaur, Ivysaur become larger and more powerful. However, as a trade-off for their bulk, they also lose their ability to stand on their hind legs due to the mass of the bulbs on their backs. Their legs also grow stronger to compensate for the extra weight. It is vital that the bulbs on their backs receive ample sunlight so that they can photosynthesize and develop. As the bulbs grow larger and these Ivysaur become more powerful, they must spend increasing amounts of time in the sun in order...""}}]"
pokemon,Venusaur,Grass,Poison,Large,Heavy,48,48,9,10,8,40,9,11,+4,+5,+4,"Sprouter, Threaded","Growth, Growl, Overgrow, Chlorophyll (While in Sunny Weather, your Speed is +2.)",Phototroph,Monster / Grass,10 Days,Forests / Jungles,Bulbasaur Ivysaur Venusaur,Grass / Poison / Floral / Stampeding (Venusaur),,"[{""_id"":""69f16ef6-ccd4-435b-b0a5-9989fdb24e6c"",""name"":""Petal Blizzard"",""unidentifiedName"":""Petal Blizzard"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Attack"",""move_range"":""Ranged(10ft burst)"",""move_uses"":""3/day"",""move_damage_dice"":""3d10"",""move_effect"":""""}},{""_id"":""eb04dae1-3061-49e4-87ac-9477d265deb8"",""name"":""Synthesis"",""unidentifiedName"":""Synthesis"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Effect"",""move_range"":""Self"",""move_uses"":""1/day"",""move_damage_dice"":"""",""move_effect"":""You are healed HP equal to half of your Max HP. If you are within Sunny Weather, you are healed HP equal to 3/4ths of your Max HP instead.""}},{""_id"":""7a3a714d-541d-47a9-ad6a-bef6933104ff"",""name"":""Solar Beam"",""unidentifiedName"":""Solar Beam"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Special Attack"",""move_range"":""Ranged(30ft beam)"",""move_uses"":""1/day"",""move_damage_dice"":""5d12"",""move_effect"":""Solar Beam is a two-turn move unless it is Sunny. On the first turn, do nothing. On the second turn or if it is Sunny, roll Solar Beam’s Accuracy Check and damage. Chikorita primarily photosynthesize energy using their large leaves. Because of this, they spend most of their time peacefully sunbathing. Their leaves are highly sensitive to temperature and humidity. They love bright, sunny weather --in fact, one of the only times trainers may their see Chikorita upset is when the Pokémon are prevented from going out on beautiful days. Their leaves (and the buds around their necks) also release a...""}}]"
pokemon,Chikorita,Grass,,Small,Light,30,30,8,7,5,25,5,5,+2,+2,+2,"Alluring (attracts others with their aroma), Sprouter (can manipulate plant life)","Growl (+1 Defense), Overgrow (When you are below 20 HP, your Grass-type attacks deal +4 damage.)",Phototroph,Monster / Grass,10 Days,Grasslands,Chikorita Bayleef Meganium,Grass / Floral / Healer Meganium,,"[{""_id"":""d46f4450-a044-40c8-a209-1da33e24cc0f"",""name"":""Tackle"",""unidentifiedName"":""Tackle"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Normal"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""At-Will"",""move_damage_dice"":""2d6"",""move_effect"":""""}},{""_id"":""ede60df6-0ad9-4b27-a4d5-dd91c5937aca"",""name"":""Razor Leaf"",""unidentifiedName"":""Razor Leaf"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Attack"",""move_range"":""Ranged(25ft)"",""move_uses"":""At-Will"",""move_damage_dice"":""2d8"",""move_effect"":""On hit, if you got 18 or higher on Accuracy Check, Razor Leaf is a critical hit.""}},{""_id"":""dd76f973-7d78-47b8-a983-cba3b0143856"",""name"":""Synthesis"",""unidentifiedName"":""Synthesis"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Effect"",""move_range"":""Self"",""move_uses"":""1/day"",""move_damage_dice"":"""",""move_effect"":""You are healed HP equal to half of your Max HP. If you are within Sunny Weather, you are healed HP equal to 3/4ths of your Max HP instead.""}}]"
pokemon,Bayleef,Grass,,Medium,Medium,36,36,9,8,6,30,6,6,+3,+3,+3,"Alluring, Sprouter","Growl, Overgrow",Phototroph,Monster / Grass,10 Days,Grasslands,Chikorita Bayleef Meganium,Grass / Floral / Healer Meganium,,"[{""_id"":""c69c7342-1c4a-472d-aee5-7dc5392a834c"",""name"":""Reflect"",""unidentifiedName"":""Reflect"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Psychic"",""move_category"":""Effect"",""move_range"":""Melee"",""move_uses"":""3/day"",""move_damage_dice"":"""",""move_effect"":""Put a Reflect Coat on the target or yourself. The Coat has the following ability: Reduce damage from attacks that use the attack stat that hit you by 10. This Coat lasts for 2 mins.""}},{""_id"":""5d7a8c17-6ba5-44bc-bb36-9fbe8e68a196"",""name"":""Light Screen"",""unidentifiedName"":""Light Screen"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Psychic"",""move_category"":""Effect"",""move_range"":""Ranged(30ft)"",""move_uses"":""3/day"",""move_damage_dice"":"""",""move_effect"":""Place 40ft of contiguous Light Screen Wall. Light Screen Wall is see through, 12 ft tall, and has the following ability: Special Attacks that target through this wall deal 10 less damage. This Wall disappears after 2 mins.""}},{""_id"":""e33534aa-54ca-4883-90a0-85df7731f3fb"",""name"":""Magical Leaf"",""unidentifiedName"":""Magical Leaf"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Special Attack"",""move_range"":""Ranged(25ft)"",""move_uses"":""3/day"",""move_damage_dice"":""3d8"",""move_effect"":""You can’t miss targets with less than 15 Special Defense. Upon evolution, Chikorita become more energetic; their scents also change to match. Bayleef release an invigorating fragrance from their budding “necklaces” that can perk up even the most tired people and Pokémon. The fragrance can make one feel renewed and ready to fight. Oftentimes, people who raise Chikorita for their calming scents are surprised after they evolve; they suddenly want to get up and out of the house to have fun. Each of the curled-up leaves surrounding a Bayleef neck contains a small, growing, flower, responsible for r...""}}]"
pokemon,Meganium,Grass,,Large,Heavy,48,48,11,10,8,40,8,8,+4,+4,+4,"Alluring, Sprouter","Growl, Overgrow, Leaf Guard (While in sunny weather, you are cured of any afflictions.)",Phototroph,Monster / Grass,10 Days,Grasslands,Chikorita Bayleef Meganium,Grass / Floral / Healer Meganium,,"[{""_id"":""344c76ce-68dc-4b74-a614-5ec9fb729a7b"",""name"":""Safeguard"",""unidentifiedName"":""Safeguard"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Normal"",""move_category"":""Effect"",""move_range"":""Ranged(10ft burst)"",""move_uses"":""1/day"",""move_damage_dice"":"""",""move_effect"":""Put a Safe Coat on all allies and yourself. The Coat has the following ability: You cannot become afflicted. This Coat lasts for 2 mins.""}},{""_id"":""3410d20a-2db2-4bac-b082-cd11e9295c0b"",""name"":""Aromatherapy"",""unidentifiedName"":""Aromatherapy"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Effect"",""move_range"":""Melee"",""move_uses"":""3/day"",""move_damage_dice"":"""",""move_effect"":""Target an ally or yourself. Target is cured of all afflictions.""}},{""_id"":""8cad6dde-7bfb-4969-a33f-7a8131fa241d"",""name"":""Petal Dance"",""unidentifiedName"":""Petal Dance"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Special Attack"",""move_range"":""Ranged(5ft burst)"",""move_uses"":""1/day"",""move_damage_dice"":""5d12"",""move_effect"":""Petal Dance is a two-turn move. On each turn, move to the closest character within 25 ft that you can reach, and roll this move’s Accuracy Check and damage against them. After your second turn you are Confused. Treecko never panic, even when faced with stronger foes, and will stand their ground no matter what. Though rare in the wild, they can be occasionally found high up in the branches of tall trees. They make their nests there to stay away from most predators. When their trees are threatened, Treecko will leap down and ferociously defend their homes.""}}]"
pokemon,Treecko,Grass,,Small,Light,24,24,4,6,7,35,6,7,+3,+3,+3,"Climber (treats walls and ceilings as normal terrain), Sprouter (can manipulate plant life)","Leer (+1 Attack), Overgrow (When you are below 20 HP, your Grass-type attacks deal +4 damage.)",Omnivore,Monster / Dragon,10 Days,Forests,Treecko Grovyle Sceptile,Grass / Draconian (Grovyle / Sceptile) / Slashing (Grovyle / Sceptile),,"[{""_id"":""6221d653-fabd-460d-81cf-5e5605f84e9b"",""name"":""Pound"",""unidentifiedName"":""Pound"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Normal"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""At-Will"",""move_damage_dice"":""2d6"",""move_effect"":""""}},{""_id"":""0081fb7d-6faf-44a0-adde-cf8bc730145c"",""name"":""Absorb"",""unidentifiedName"":""Absorb"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Special Attack"",""move_range"":""Melee"",""move_uses"":""3/day"",""move_damage_dice"":""2d8"",""move_effect"":""On hit, you regain HP equal to half of the damage dealt.""}},{""_id"":""20e3b6f5-564f-4299-a907-ac0955f64e44"",""name"":""Quick Attack"",""unidentifiedName"":""Quick Attack"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Normal"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""At-Will"",""move_damage_dice"":""2d6"",""move_effect"":""Quick Attack has Priority.""}}]"
pokemon,Grovyle,Grass,,Medium,Medium,30,30,5,7,12,60,8,9,+4,+4,+6,"Climber, Sprouter","Agility (+2 Speed), Leer, Overgrow",Omnivore,Monster / Dragon,10 Days,Forests,Treecko Grovyle Sceptile,Grass / Draconian (Grovyle / Sceptile) / Slashing (Grovyle / Sceptile),,"[{""_id"":""c3526749-a810-414e-add1-1ddcc5dd9799"",""name"":""Fury Cutter"",""unidentifiedName"":""Fury Cutter"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Bug"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""At-Will"",""move_damage_dice"":""1d6"",""move_effect"":""For each time you’ve successfully used Fury Cutter against the same target during the encounter, add 1d6 to Fury Cutter’s damage.""}},{""_id"":""0149f089-6538-4e25-bce5-7b41036e8b72"",""name"":""Pursuit"",""unidentifiedName"":""Pursuit"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Dark"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""At-Will"",""move_damage_dice"":""2d6"",""move_effect"":""Pursuit deals +6 damage to a target if they ended their turn further away from you during the start of their turn.""}},{""_id"":""ce1028e4-f6db-4a79-b921-74012dc33a61"",""name"":""Leaf Blade"",""unidentifiedName"":""Leaf Blade"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""3/day"",""move_damage_dice"":""3d10"",""move_effect"":""On hit, if you got 18 or higher on Accuracy Check, Leaf Blade is a critical hit. Like Treecko,""}}]"
pokemon,Sceptile,Grass,,Large,Medium,42,42,7,9,14,70,11,11,+5,+5,+7,"Climber, Sprouter","Agility, Screech (+2 Attack), Leaf Guard (While in sunny weather, you are cured of any afflictions), Overgrow",Omnivore,Monster / Dragon,10 Days,Forests,Treecko Grovyle Sceptile,Grass / Draconian (Grovyle / Sceptile) / Slashing (Grovyle / Sceptile),,"[{""_id"":""6f33970b-dadd-4a21-9629-df234e300ac5"",""name"":""Dual Chop"",""unidentifiedName"":""Dual Chop"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Dragon"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""3/day"",""move_damage_dice"":""2d8"",""move_effect"":""Dual Chop is a Scatter attack. It has two attacks. X-Scissor - Melee Bug Attack: 3/day 3d10.""}},{""_id"":""76d93941-694d-4c7c-809f-905d456cf330"",""name"":""Leaf Storm"",""unidentifiedName"":""Leaf Storm"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Special Attack"",""move_range"":""Ranged(30ft beam)"",""move_uses"":""1/day"",""move_damage_dice"":""5d12"",""move_effect"":""After use, your Special Attack is -4 for 10 mins. As usually mild natured creatures,""}}]"
pokemon,Turtwig,Grass,,Small,Medium,36,36,7,6,3,15,7,5,+3,+2,+1,Sprouter (can manipulate plant life),"Withdraw (+1 Defense), Overgrow (When you are below 20 HP, your Grass-type attacks deal +4 damage.)",Herbivore / Phototroph,Monster / Grass,10 Days,Forests,Turtwig Grotle Torterra,Grass / Ground (Grotle / Torterra) / Stampeding (Torterra) Torterra,,"[{""_id"":""e1bc2748-37cf-4e5f-8f06-f2813cdadf46"",""name"":""Tackle"",""unidentifiedName"":""Tackle"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Normal"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""At-Will"",""move_damage_dice"":""2d6"",""move_effect"":""""}},{""_id"":""1ee3b480-5386-43ec-86a6-05dcc9634bbe"",""name"":""Absorb"",""unidentifiedName"":""Absorb"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Special Attack"",""move_range"":""Melee"",""move_uses"":""3/day"",""move_damage_dice"":""2d8"",""move_effect"":""On hit, you regain HP equal to half of the damage dealt.""}},{""_id"":""86c98f1e-6ae2-4d4f-94df-ff9c26796423"",""name"":""Razor Leaf"",""unidentifiedName"":""Razor Leaf"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Attack"",""move_range"":""Ranged(25ft)"",""move_uses"":""At-Will"",""move_damage_dice"":""2d8"",""move_effect"":""On hit, if you got 18 or higher on Accuracy Check, Razor Leaf is a critical hit.""}}]"
pokemon,Grotle,Grass,,Medium,Heavy,48,48,10,7,4,20,9,6,+4,+3,+2,Sprouter,"Withdraw, Overgrow",Herbivore / Phototroph,Monster / Grass,10 Days,Forests,Turtwig Grotle Torterra,Grass / Ground (Grotle / Torterra) / Stampeding (Torterra) Torterra,,"[{""_id"":""c1f67f59-b037-4ba7-96ab-466f3419d12d"",""name"":""Bite"",""unidentifiedName"":""Bite"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Dark"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""At-Will"",""move_damage_dice"":""2d8"",""move_effect"":""On hit, if you got 18 or higher on Accuracy Check, the target is Stunned.""}},{""_id"":""1745b72e-c3ce-4eab-af14-6389e20105b1"",""name"":""Mega Drain"",""unidentifiedName"":""Mega Drain"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Special Attack"",""move_range"":""Melee"",""move_uses"":""3/day"",""move_damage_dice"":""2d10"",""move_effect"":""On hit, you regain HP equal to half of the damage dealt.""}},{""_id"":""aac05a2b-75d2-4750-b1d8-42b70ae7cfda"",""name"":""Leech Seed"",""unidentifiedName"":""Leech Seed"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Effect"",""move_range"":""Ranged(10ft)"",""move_uses"":""1/day"",""move_damage_dice"":"""",""move_effect"":""On hit, the target gets a Seed Coat. The Coat has the following ability: At the beginning of your turn, if you are within 20 ft of the enemy who gave you the Seed Coat, you lose 1d12 HP. The enemy who gave you the Seed CoAt-Will gain the same amount of HP that you lost. This Coat lasts for 3 mins, or until you are at 0 or less HP.""}}]"
pokemon,Torterra,Grass,Ground,Large,Superweight,60,60,12,9,6,30,11,8,+5,+4,+3,"Groundshaper (can manipulate the ground), Sinker (can’t swim), Sprouter","Withdraw, Overgrow, Shell Armor (Critical hits are treated as normal hits against you.)",Herbivore / Phototroph,Monster / Grass,10 Days,Forests,Turtwig Grotle Torterra,Grass / Ground (Grotle / Torterra) / Stampeding (Torterra) Torterra,,"[{""_id"":""c13fc1d9-b66e-4c57-9cfc-46a98b998955"",""name"":""Earthquake"",""unidentifiedName"":""Earthquake"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Ground"",""move_category"":""Attack"",""move_range"":""Ranged(30ft burst)"",""move_uses"":""1/day"",""move_damage_dice"":""3d12"",""move_effect"":""""}},{""_id"":""d1404205-41ad-4232-9292-bf864f8683de"",""name"":""Synthesis"",""unidentifiedName"":""Synthesis"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Effect"",""move_range"":""Self"",""move_uses"":""1/day"",""move_damage_dice"":"""",""move_effect"":""You are healed HP equal to half of your Max HP. If you are within Sunny Weather, you are healed HP equal to 3/4ths of your Max HP instead.""}},{""_id"":""36a30981-e007-42db-a29e-96b188a9b2bf"",""name"":""Giga Drain"",""unidentifiedName"":""Giga Drain"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Special Attack"",""move_range"":""Melee"",""move_uses"":""1/day"",""move_damage_dice"":""3d12"",""move_effect"":""On hit, you regain HP equal to half of the damage dealt.""}}]"
pokemon,Snivy,Grass,,Small,Light,30,30,6,6,6,30,6,5,+3,+2,+3,"Sprouter (can manipulate plant life), Threaded (can move around with vines), Tracker (can follow scents)","Leer (+1 Attack), Overgrow (When you are below 20 HP, your Grass-type attacks deal +4 damage.)",Omnivore / Phototroph,Field / Grass,10 Days,Grasslands / Fields / Forests,Snivy Servine Serperior,Grass / Poison (Melee Attacks) / Slashing (Servine / Serperior) Serperior,,"[{""_id"":""5993680a-cff6-40c1-b6f2-37f4f77d27a2"",""name"":""Tackle"",""unidentifiedName"":""Tackle"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Normal"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""At-Will"",""move_damage_dice"":""2d6"",""move_effect"":""""}},{""_id"":""96e6ad34-e812-4a05-a6f6-64c747d7f629"",""name"":""Vine Whip"",""unidentifiedName"":""Vine Whip"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Grass"",""move_category"":""Attack"",""move_range"":""Ranged(20ft)"",""move_uses"":""At-Will"",""move_damage_dice"":""2d8"",""move_effect"":""""}},{""_id"":""676773b8-cbf5-4c2d-918d-21c9707baba1"",""name"":""Wrap"",""unidentifiedName"":""Wrap"",""recordType"":""pokemon_move"",""identified"":true,""data"":{""move_type"":""Normal"",""move_category"":""Attack"",""move_range"":""Melee"",""move_uses"":""At-Will"",""move_damage_dice"":""1d4"",""move_effect"":""On hit, the target is bound to you for 1d4 rounds. For each round the target is bound, it takes 1d4 physical damage on its turns.""}}]"
